IP,PORT,匿名度,类型,位置,响应速度,最后验证时间
183.223.40.129,8123,高匿名,HTTP,四川省,0.3秒,2015-05-24 10:30:50,
116.231.110.90,8090,高匿名,HTTP,上海市,0.4秒,2015-05-24 09:30:52,
183.220.241.66,8123,高匿名,HTTP,四川省 雅安市,3秒,2015-05-24 08:31:01,
114.249.16.38,8090,高匿名,HTTP,北京市,1秒,2015-05-24 07:31:01,
223.151.250.91,9000,高匿名,HTTP,湖南省 常德市,1秒,2015-05-24 06:30:54,
118.249.25.239,9000,高匿名,HTTP,湖南省 长沙市,3秒,2015-05-24 05:30:46,
140.255.96.146,8090,高匿名,HTTP,山东省 青岛市,3秒,2015-05-24 04:30:54,
121.31.149.36,8123,高匿名,HTTP,广西壮族自治区北海市,1秒,2015-05-24 03:30:34,
223.86.70.155,8123,高匿名,HTTP,四川省 雅安市,1秒,2015-05-24 02:30:50,
183.216.100.88,8123,高匿名,HTTP,江西省 南昌市,1秒,2015-05-24 01:30:29,
182.201.1.105,8090,高匿名,HTTP,辽宁省 大连市,2秒,2015-05-24 00:31:01,
183.141.69.9,3128,高匿名,HTTP,浙江省 嘉兴市,1秒,2015-05-23 23:31:01,
111.9.232.4,8123,高匿名,HTTP,四川省 雅安市,3秒,2015-05-23 22:30:59,
219.140.136.181,8090,高匿名,HTTP,湖北省 武汉市,0.8秒,2015-05-23 21:30:48,
116.231.100.144,8090,高匿名,HTTP,上海市,2秒,2015-05-23 20:30:56,
117.162.116.4,8123,高匿名,HTTP,江西省 上饶市,1秒,2015-05-23 19:30:59,
117.173.121.186,8123,高匿名,HTTP,四川省 广元市,1秒,2015-05-23 18:30:59,
119.96.235.209,8090,高匿名,HTTP,湖北省 武汉市,2秒,2015-05-23 17:30:36,
117.25.106.140,8090,高匿名,HTTP,福建省 福州市,1秒,2015-05-23 16:30:54,
116.231.100.129,8090,高匿名,HTTP,上海市,2秒,2015-05-23 15:30:52,
117.175.208.198,8123,高匿名,HTTP,四川省,0.3秒,2015-05-23 14:30:49,
117.177.171.216,8123,高匿名,HTTP,四川省 广元市,2秒,2015-05-23 13:30:54,
219.142.192.196,2461,高匿名,HTTP,北京市,2秒,2015-05-23 12:30:31,
119.101.236.231,9000,高匿名,HTTP,湖北省 十堰市,3秒,2015-05-23 11:31:01,
182.201.0.31,8090,高匿名,HTTP,辽宁省 大连市,1秒,2015-05-23 10:31:00,
183.222.164.180,8123,高匿名,HTTP,四川省 雅安市,2秒,2015-05-23 09:30:38,
