IP,PORT,匿名度,类型,位置,响应速度,最后验证时间
106.34.238.207,80,透明,HTTP,河南省 郑州市,1秒,2015-05-24 10:30:56,
171.9.212.3,80,透明,HTTP,河南省 郑州市,1秒,2015-05-24 09:30:52,
60.209.20.90,9797,透明,HTTP,山东省 青岛市,1秒,2015-05-24 08:31:03,
49.93.217.43,3128,透明,HTTP,江苏省 南京市,1秒,2015-05-24 07:31:03,
49.94.165.248,3128,透明,HTTP,江苏省 南京市,2秒,2015-05-24 06:30:58,
49.93.36.107,80,透明,HTTP,江苏省 南京市,2秒,2015-05-24 05:30:46,
113.83.18.205,9999,透明,HTTP,广东省 惠州市,2秒,2015-05-24 04:30:15,
14.211.149.135,9797,透明,HTTP,广东省 佛山市,0.3秒,2015-05-24 03:30:34,
58.61.245.10,9797,透明,HTTP,广东省 广州市,3秒,2015-05-24 02:30:56,
14.221.167.80,9797,透明,HTTP,广东省 东莞市,2秒,2015-05-24 01:30:19,
120.197.53.196,8080,透明,HTTP,广东省 广州市,1秒,2015-05-24 00:31:04,
222.41.113.43,8080,透明,HTTP,陕西省 西安市,2秒,2015-05-23 23:31:00,
49.93.11.36,80,透明,HTTP,江苏省 南京市,0.5秒,2015-05-23 22:31:00,
49.94.162.25,80,透明,HTTP,江苏省 南京市,1秒,2015-05-23 21:30:46,
14.156.144.22,9999,透明,HTTP,广东省 东莞市,1秒,2015-05-23 20:30:51,
49.94.30.193,3128,透明,HTTP,江苏省 南京市,1秒,2015-05-23 19:31:03,
183.185.3.53,9797,透明,HTTP,山西省 太原市,2秒,2015-05-23 18:30:58,
49.93.207.82,80,透明,HTTP,江苏省 南京市,1秒,2015-05-23 17:30:51,
113.140.113.42,80,透明,HTTP,陕西省 西安市,3秒,2015-05-23 16:31:01,
118.81.69.232,9797,透明,HTTP,山西省 太原市,2秒,2015-05-23 15:30:43,
110.176.62.41,80,透明,HTTP,山西省 太原市,2秒,2015-05-23 14:30:52,
49.91.2.107,80,透明,HTTP,江苏省 南京市,1秒,2015-05-23 13:30:56,
49.90.34.146,3128,透明,HTTP,江苏省 南京市,1秒,2015-05-23 12:31:00,
49.94.26.113,3128,透明,HTTP,江苏省 南京市,2秒,2015-05-23 11:30:57,
112.95.204.199,8888,透明,HTTP,广东省 深圳市,1秒,2015-05-23 10:31:01,
49.94.29.186,3128,透明,HTTP,江苏省 南京市,秒,2015-05-23 09:30:34,
49.91.25.152,3128,透明,HTTP,江苏省 南京市,1秒,2015-05-23 08:31:01,
49.90.10.121,80,透明,HTTP,江苏省 南京市,3秒,2015-05-23 07:30:50,
49.94.148.21,3128,透明,HTTP,江苏省 南京市,3秒,2015-05-23 06:30:50,
106.34.164.66,80,透明,HTTP,河南省 郑州市,3秒,2015-05-23 05:30:51,
163.142.229.94,8080,透明,HTTP,广东省 佛山市,1秒,2015-05-23 04:31:04,
49.94.19.110,3128,透明,HTTP,江苏省 南京市,3秒,2015-05-23 03:30:41,
113.17.218.246,80,透明,HTTP,广西壮族自治区南宁市 CDMA全省,1秒,2015-05-23 02:30:57,
